date,time,open,high,low,close,volume
20250429,1154,6250,6250,6250,6250,100
20250429,1156,6240,6250,6240,6250,51
20250429,1159,6250,6250,6250,6250,20
20250429,1201,6250,6250,6250,6250,3
20250429,1202,6250,6250,6250,6250,2
20250429,1206,6240,6240,6240,6240,10
20250429,1207,6250,6250,6250,6250,65
20250429,1213,6240,6240,6240,6240,16
20250429,1216,6240,6240,6240,6240,254
20250429,1218,6240,6240,6240,6240,53
20250429,1219,6240,6240,6240,6240,25
20250429,1221,6240,6240,6240,6240,3
20250429,1228,6230,6230,6230,6230,50
20250429,1230,6230,6230,6230,6230,54
20250429,1233,6230,6230,6230,6230,53
20250429,1235,6230,6230,6230,6230,54
20250429,1238,6230,6230,6230,6230,27
20250429,1240,6230,6230,6230,6230,27
20250429,1243,6230,6230,6230,6230,27
20250429,1245,6230,6230,6230,6230,26
20250429,1247,6230,6230,6230,6230,23
20250429,1248,6220,6220,6220,6220,4
20250429,1249,6230,6230,6230,6230,10
20250429,1257,6230,6230,6220,6220,27
20250429,1300,6220,6220,6220,6220,53
20250429,1302,6220,6220,6220,6220,76
